GEO.id2,HD01_VD01,HD01_VD02,
Id2,Estimate; Total:,Estimate; Total: - For rent,percent
47037010103,45,0,0
47037010104,76,0,0
47037010105,230,22,9.565217391
47037010106,20,0,0
47037010201,180,0,0
47037010202,64,44,68.75
47037010301,190,74,38.94736842
47037010302,263,143,54.37262357
47037010303,237,51,21.51898734
47037010401,360,112,31.11111111
47037010402,549,159,28.96174863
47037010501,62,0,0
47037010502,191,30,15.70680628
47037010601,218,57,26.14678899
47037010602,148,39,26.35135135
47037010701,370,108,29.18918919
47037010702,197,92,46.70050761
47037010801,143,16,11.18881119
47037010802,74,36,48.64864865
47037010901,183,54,29.50819672
47037010903,269,35,13.01115242
47037010904,116,33,28.44827586
47037011001,302,168,55.62913907
47037011002,108,19,17.59259259
47037011100,126,58,46.03174603
47037011200,227,73,32.15859031
47037011300,424,179,42.21698113
47037011400,288,86,29.86111111
47037011500,221,0,0
47037011600,165,89,53.93939394
47037011700,208,97,46.63461538
47037011800,198,55,27.77777778
47037011900,249,107,42.97188755
47037012100,103,0,0
47037012200,135,20,14.81481481
47037012600,79,23,29.11392405
47037012701,167,71,42.51497006
47037012702,151,29,19.20529801
47037012801,305,77,25.24590164
47037012802,168,0,0
47037013000,0,0,#DIV/0!
47037013100,104,6,5.769230769
47037013201,126,0,0
47037013202,150,32,21.33333333
47037013300,224,67,29.91071429
47037013400,177,43,24.29378531
47037013500,187,30,16.04278075
47037013601,206,92,44.66019417
47037013602,62,28,45.16129032
47037013700,164,34,20.73170732
47037013800,95,0,0
47037013900,116,31,26.72413793
47037014200,186,66,35.48387097
47037014300,239,61,25.52301255
47037014400,106,35,33.01886792
47037014800,200,110,55
47037015100,106,0,0
47037015200,70,14,20
47037015300,153,0,0
47037015401,203,51,25.12315271
47037015402,93,23,24.7311828
47037015404,232,165,71.12068966
47037015405,178,38,21.34831461
47037015501,160,0,0
47037015502,124,66,53.22580645
47037015609,203,104,51.23152709
47037015610,333,120,36.03603604
47037015612,431,186,43.15545244
47037015613,123,44,35.77235772
47037015614,138,0,0
47037015615,60,0,0
47037015617,75,0,0
47037015618,246,0,0
47037015619,97,0,0
47037015620,263,0,0
47037015622,69,45,65.2173913
47037015623,140,76,54.28571429
47037015624,249,51,20.48192771
47037015625,168,0,0
47037015626,173,90,52.02312139
47037015627,33,0,0
47037015628,91,58,63.73626374
47037015629,193,144,74.61139896
47037015630,77,14,18.18181818
47037015631,244,0,0
47037015700,30,13,43.33333333
47037015802,275,185,67.27272727
47037015803,240,181,75.41666667
47037015804,47,0,0
47037015900,160,139,86.875
47037016000,83,54,65.06024096
47037016100,132,17,12.87878788
47037016200,288,189,65.625
47037016300,152,26,17.10526316
47037016400,236,40,16.94915254
47037016500,58,35,60.34482759
47037016600,310,34,10.96774194
47037016700,438,39,8.904109589
47037016800,185,0,0
47037016900,113,0,0
47037017000,28,0,0
47037017100,134,0,0
47037017200,123,0,0
47037017300,123,58,47.15447154
47037017401,76,40,52.63157895
47037017402,333,112,33.63363363
47037017500,143,63,44.05594406
47037017701,54,0,0
47037017702,0,0,#DIV/0!
47037017800,309,90,29.12621359
47037017901,326,31,9.509202454
47037017902,140,140,100
47037018000,403,43,10.66997519
47037018101,235,143,60.85106383
47037018102,86,0,0
47037018201,131,74,56.48854962
47037018202,310,193,62.25806452
47037018203,41,17,41.46341463
47037018301,382,127,33.2460733
47037018302,56,0,0
47037018401,457,119,26.03938731
47037018404,198,118,59.5959596
47037018405,110,0,0
47037018407,46,0,0
47037018408,34,0,0
47037018409,283,0,0
47037018410,91,0,0
47037018500,208,13,6.25
47037018601,81,16,19.75308642
47037018602,61,0,0
47037018700,43,0,0
47037018801,80,0,0
47037018803,46,24,52.17391304
47037018804,16,0,0
47037018901,301,62,20.59800664
47037018902,110,18,16.36363636
47037018904,112,74,66.07142857
47037018905,171,72,42.10526316
47037019003,170,27,15.88235294
47037019004,176,50,28.40909091
47037019005,126,42,33.33333333
47037019006,83,45,54.21686747
47037019105,191,73,38.21989529
47037019106,111,28,25.22522523
47037019108,164,63,38.41463415
47037019109,177,57,32.20338983
47037019110,81,0,0
47037019111,152,91,59.86842105
47037019112,79,14,17.72151899
47037019114,305,86,28.19672131
47037019115,25,0,0
47037019116,197,0,0
47037019117,11,4,36.36363636
47037019118,381,246,64.56692913
47037019200,184,107,58.15217391
47037019300,155,81,52.25806452
47037019400,437,71,16.24713959
47037019500,1274,204,16.01255887
47037019600,284,60,21.12676056
47037980100,0,0,#DIV/0!
47037980200,0,0,#DIV/0!
