GEO.id2,HD01_VD01,HD01_VD02,
Id2,Estimate; Total:,Estimate; Total: - For rent,percent
47037010103,170,0,0
47037010104,70,0,0
47037010105,78,0,0
47037010106,28,0,0
47037010201,100,0,0
47037010202,68,50,73.52941176
47037010301,205,99,48.29268293
47037010302,191,128,67.01570681
47037010303,164,94,57.31707317
47037010401,184,89,48.36956522
47037010402,308,249,80.84415584
47037010501,221,0,0
47037010502,203,17,8.374384236
47037010601,319,116,36.36363636
47037010602,117,78,66.66666667
47037010701,309,78,25.24271845
47037010702,264,227,85.98484848
47037010801,92,60,65.2173913
47037010802,134,51,38.05970149
47037010901,148,91,61.48648649
47037010903,271,146,53.87453875
47037010904,96,74,77.08333333
47037011001,269,210,78.0669145
47037011002,116,29,25
47037011100,180,40,22.22222222
47037011200,192,50,26.04166667
47037011300,333,162,48.64864865
47037011400,334,96,28.74251497
47037011500,226,0,0
47037011600,57,45,78.94736842
47037011700,395,129,32.65822785
47037011800,205,87,42.43902439
47037011900,246,94,38.21138211
47037012100,59,0,0
47037012200,73,0,0
47037012600,118,0,0
47037012701,193,76,39.37823834
47037012702,208,56,26.92307692
47037012801,273,0,0
47037012802,167,20,11.9760479
47037013000,0,0,#DIV/0!
47037013100,143,55,38.46153846
47037013201,62,51,82.25806452
47037013202,134,48,35.82089552
47037013300,195,105,53.84615385
47037013400,299,76,25.4180602
47037013500,172,99,57.55813953
47037013601,213,101,47.41784038
47037013602,60,17,28.33333333
47037013700,348,70,20.11494253
47037013800,142,53,37.32394366
47037013900,139,41,29.49640288
47037014200,195,97,49.74358974
47037014300,185,86,46.48648649
47037014400,128,43,33.59375
47037014800,134,19,14.17910448
47037015100,86,0,0
47037015200,111,54,48.64864865
47037015300,135,0,0
47037015401,152,0,0
47037015402,130,75,57.69230769
47037015404,175,147,84
47037015405,138,30,21.73913043
47037015501,87,0,0
47037015502,95,89,93.68421053
47037015609,155,106,68.38709677
47037015610,302,219,72.51655629
47037015612,272,158,58.08823529
47037015613,191,85,44.5026178
47037015614,220,0,0
47037015615,94,7,7.446808511
47037015617,61,0,0
47037015618,236,45,19.06779661
47037015619,114,0,0
47037015620,145,13,8.965517241
47037015622,156,57,36.53846154
47037015623,80,80,100
47037015624,213,105,49.29577465
47037015625,170,0,0
47037015626,142,33,23.23943662
47037015627,44,0,0
47037015628,75,41,54.66666667
47037015629,417,300,71.94244604
47037015630,64,22,34.375
47037015631,160,0,0
47037015700,58,23,39.65517241
47037015802,336,278,82.73809524
47037015803,376,327,86.96808511
47037015804,49,0,0
47037015900,202,163,80.69306931
47037016000,116,56,48.27586207
47037016100,57,31,54.38596491
47037016200,276,146,52.89855072
47037016300,51,40,78.43137255
47037016400,214,79,36.91588785
47037016500,46,0,0
47037016600,386,95,24.61139896
47037016700,335,84,25.07462687
47037016800,286,34,11.88811189
47037016900,228,0,0
47037017000,68,0,0
47037017100,70,0,0
47037017200,79,0,0
47037017300,133,62,46.61654135
47037017401,127,53,41.73228346
47037017402,363,250,68.87052342
47037017500,223,100,44.84304933
47037017701,38,0,0
47037017702,69,35,50.72463768
47037017800,373,120,32.17158177
47037017901,357,127,35.57422969
47037017902,198,145,73.23232323
47037018000,405,91,22.4691358
47037018101,331,252,76.13293051
47037018102,217,42,19.35483871
47037018201,43,0,0
47037018202,315,142,45.07936508
47037018203,35,0,0
47037018301,391,152,38.87468031
47037018302,31,0,0
47037018401,385,142,36.88311688
47037018404,101,101,100
47037018405,69,0,0
47037018407,43,0,0
47037018408,44,0,0
47037018409,128,0,0
47037018410,177,49,27.68361582
47037018500,85,0,0
47037018601,53,0,0
47037018602,64,0,0
47037018700,0,0,#DIV/0!
47037018801,183,69,37.70491803
47037018803,211,30,14.21800948
47037018804,0,0,#DIV/0!
47037018901,192,65,33.85416667
47037018902,88,0,0
47037018904,80,56,70
47037018905,239,147,61.50627615
47037019003,163,62,38.03680982
47037019004,239,120,50.20920502
47037019005,295,188,63.72881356
47037019006,103,54,52.42718447
47037019105,358,273,76.25698324
47037019106,140,76,54.28571429
47037019108,121,77,63.63636364
47037019109,239,81,33.89121339
47037019110,166,27,16.26506024
47037019111,126,81,64.28571429
47037019112,87,29,33.33333333
47037019114,311,29,9.324758842
47037019115,17,0,0
47037019116,302,145,48.01324503
47037019117,41,41,100
47037019118,307,177,57.65472313
47037019200,192,172,89.58333333
47037019300,96,18,18.75
47037019400,372,90,24.19354839
47037019500,1010,257,25.44554455
47037019600,294,90,30.6122449
47037980100,0,0,#DIV/0!
47037980200,0,0,#DIV/0!
