GEO.id2,HD01_VD01,HD01_VD02,
Id2,Estimate; Total:,Estimate; Total: - For rent,percent
47037010103,98,0,0
47037010104,72,0,0
47037010105,119,0,0
47037010106,59,0,0
47037010201,82,0,0
47037010202,86,44,51.1627907
47037010301,208,71,34.13461538
47037010302,191,122,63.87434555
47037010303,174,113,64.94252874
47037010401,276,130,47.10144928
47037010402,393,315,80.15267176
47037010501,162,0,0
47037010502,234,0,0
47037010601,280,89,31.78571429
47037010602,121,82,67.76859504
47037010701,266,99,37.21804511
47037010702,282,243,86.17021277
47037010801,166,96,57.8313253
47037010802,135,52,38.51851852
47037010901,203,104,51.23152709
47037010903,227,51,22.46696035
47037010904,142,105,73.94366197
47037011001,250,196,78.4
47037011002,87,0,0
47037011100,141,34,24.11347518
47037011200,191,41,21.46596859
47037011300,375,141,37.6
47037011400,319,77,24.13793103
47037011500,229,0,0
47037011600,156,131,83.97435897
47037011700,360,125,34.72222222
47037011800,168,57,33.92857143
47037011900,192,89,46.35416667
47037012100,63,0,0
47037012200,101,0,0
47037012600,102,13,12.74509804
47037012701,224,101,45.08928571
47037012702,171,42,24.56140351
47037012801,304,0,0
47037012802,197,20,10.15228426
47037013000,0,0,#DIV/0!
47037013100,140,58,41.42857143
47037013201,65,35,53.84615385
47037013202,115,44,38.26086957
47037013300,230,118,51.30434783
47037013400,285,105,36.84210526
47037013500,169,66,39.05325444
47037013601,217,108,49.76958525
47037013602,41,17,41.46341463
47037013700,344,72,20.93023256
47037013800,113,19,16.81415929
47037013900,144,53,36.80555556
47037014200,153,83,54.24836601
47037014300,215,68,31.62790698
47037014400,107,31,28.97196262
47037014800,142,91,64.08450704
47037015100,103,0,0
47037015200,88,34,38.63636364
47037015300,121,0,0
47037015401,176,45,25.56818182
47037015402,110,56,50.90909091
47037015404,223,200,89.68609865
47037015405,198,29,14.64646465
47037015501,79,0,0
47037015502,116,87,75
47037015609,214,167,78.03738318
47037015610,327,169,51.68195719
47037015612,321,149,46.41744548
47037015613,233,123,52.78969957
47037015614,173,0,0
47037015615,112,6,5.357142857
47037015617,75,0,0
47037015618,205,0,0
47037015619,160,0,0
47037015620,130,8,6.153846154
47037015622,91,42,46.15384615
47037015623,89,51,57.30337079
47037015624,239,87,36.40167364
47037015625,230,0,0
47037015626,102,23,22.54901961
47037015627,34,0,0
47037015628,101,34,33.66336634
47037015629,302,206,68.21192053
47037015630,75,21,28
47037015631,176,0,0
47037015700,30,14,46.66666667
47037015802,373,283,75.87131367
47037015803,414,359,86.71497585
47037015804,47,0,0
47037015900,213,179,84.03755869
47037016000,94,64,68.08510638
47037016100,49,15,30.6122449
47037016200,242,147,60.74380165
47037016300,28,0,0
47037016400,237,71,29.95780591
47037016500,70,8,11.42857143
47037016600,338,80,23.66863905
47037016700,362,79,21.82320442
47037016800,226,37,16.37168142
47037016900,171,0,0
47037017000,1,0,0
47037017100,89,0,0
47037017200,101,0,0
47037017300,166,64,38.55421687
47037017401,105,51,48.57142857
47037017402,411,244,59.36739659
47037017500,178,82,46.06741573
47037017701,39,0,0
47037017702,36,36,100
47037017800,386,122,31.60621762
47037017901,252,115,45.63492063
47037017902,183,136,74.31693989
47037018000,418,36,8.612440191
47037018101,177,103,58.1920904
47037018102,205,29,14.14634146
47037018201,91,49,53.84615385
47037018202,288,173,60.06944444
47037018203,26,26,100
47037018301,390,134,34.35897436
47037018302,31,0,0
47037018401,396,171,43.18181818
47037018404,155,101,65.16129032
47037018405,71,0,0
47037018407,38,0,0
47037018408,38,0,0
47037018409,158,0,0
47037018410,180,46,25.55555556
47037018500,127,0,0
47037018601,63,0,0
47037018602,33,0,0
47037018700,31,0,0
47037018801,140,76,54.28571429
47037018803,126,21,16.66666667
47037018804,14,0,0
47037018901,225,73,32.44444444
47037018902,101,21,20.79207921
47037018904,107,86,80.37383178
47037018905,242,145,59.91735537
47037019003,164,56,34.14634146
47037019004,222,76,34.23423423
47037019005,328,214,65.24390244
47037019006,169,66,39.05325444
47037019105,222,129,58.10810811
47037019106,165,54,32.72727273
47037019108,145,84,57.93103448
47037019109,247,98,39.67611336
47037019110,129,41,31.78294574
47037019111,162,96,59.25925926
47037019112,66,15,22.72727273
47037019114,293,20,6.825938567
47037019115,25,0,0
47037019116,276,109,39.49275362
47037019117,38,30,78.94736842
47037019118,253,149,58.89328063
47037019200,158,135,85.44303797
47037019300,126,33,26.19047619
47037019400,453,116,25.60706402
47037019500,1084,297,27.39852399
47037019600,315,90,28.57142857
47037980100,0,0,#DIV/0!
47037980200,0,0,#DIV/0!
