GEO.id2,HD01_VD01,HD01_VD02,
Id2,Estimate; Total:,Estimate; Total: - For rent,percent
47037010103,87,0,0
47037010104,58,0,0
47037010105,170,24,14.11764706
47037010106,40,0,0
47037010201,73,0,0
47037010202,65,43,66.15384615
47037010301,260,75,28.84615385
47037010302,178,94,52.80898876
47037010303,274,81,29.5620438
47037010401,392,111,28.31632653
47037010402,482,281,58.29875519
47037010501,137,0,0
47037010502,190,29,15.26315789
47037010601,278,85,30.57553957
47037010602,178,65,36.51685393
47037010701,319,152,47.64890282
47037010702,252,213,84.52380952
47037010801,201,37,18.4079602
47037010802,142,49,34.50704225
47037010901,210,94,44.76190476
47037010903,226,36,15.92920354
47037010904,104,81,77.88461538
47037011001,355,176,49.57746479
47037011002,100,0,0
47037011100,129,34,26.35658915
47037011200,216,46,21.2962963
47037011300,440,184,41.81818182
47037011400,372,119,31.98924731
47037011500,218,0,0
47037011600,130,120,92.30769231
47037011700,299,184,61.53846154
47037011800,213,75,35.21126761
47037011900,237,102,43.03797468
47037012100,95,0,0
47037012200,126,0,0
47037012600,72,26,36.11111111
47037012701,136,65,47.79411765
47037012702,162,48,29.62962963
47037012801,291,38,13.05841924
47037012802,156,0,0
47037013000,0,0,#DIV/0!
47037013100,97,0,0
47037013201,76,0,0
47037013202,85,28,32.94117647
47037013300,223,62,27.80269058
47037013400,295,98,33.22033898
47037013500,200,53,26.5
47037013601,196,87,44.3877551
47037013602,51,27,52.94117647
47037013700,247,31,12.55060729
47037013800,165,23,13.93939394
47037013900,150,51,34
47037014200,152,61,40.13157895
47037014300,252,75,29.76190476
47037014400,102,33,32.35294118
47037014800,167,87,52.09580838
47037015100,116,0,0
47037015200,43,29,67.44186047
47037015300,177,0,0
47037015401,234,40,17.09401709
47037015402,142,57,40.14084507
47037015404,284,260,91.54929577
47037015405,175,38,21.71428571
47037015501,162,0,0
47037015502,112,86,76.78571429
47037015609,186,120,64.51612903
47037015610,291,102,35.05154639
47037015612,394,187,47.46192893
47037015613,193,98,50.77720207
47037015614,168,0,0
47037015615,87,11,12.64367816
47037015617,96,0,0
47037015618,170,0,0
47037015619,121,0,0
47037015620,210,9,4.285714286
47037015622,75,51,68
47037015623,90,58,64.44444444
47037015624,251,93,37.05179283
47037015625,223,0,0
47037015626,155,82,52.90322581
47037015627,12,0,0
47037015628,100,49,49
47037015629,175,130,74.28571429
47037015630,109,24,22.01834862
47037015631,211,0,0
47037015700,33,15,45.45454545
47037015802,302,213,70.52980132
47037015803,295,267,90.50847458
47037015804,51,0,0
47037015900,163,155,95.09202454
47037016000,103,66,64.0776699
47037016100,81,14,17.28395062
47037016200,263,169,64.25855513
47037016300,119,21,17.64705882
47037016400,242,56,23.14049587
47037016500,51,8,15.68627451
47037016600,309,67,21.6828479
47037016700,385,40,10.38961039
47037016800,226,38,16.81415929
47037016900,111,0,0
47037017000,28,0,0
47037017100,131,0,0
47037017200,100,0,0
47037017300,157,59,37.57961783
47037017401,116,70,60.34482759
47037017402,379,243,64.11609499
47037017500,171,93,54.38596491
47037017701,43,0,0
47037017702,0,0,#DIV/0!
47037017800,383,139,36.2924282
47037017901,236,34,14.40677966
47037017902,200,145,72.5
47037018000,396,49,12.37373737
47037018101,296,177,59.7972973
47037018102,169,28,16.56804734
47037018201,124,65,52.41935484
47037018202,256,176,68.75
47037018203,17,17,100
47037018301,423,160,37.8250591
47037018302,4,0,0
47037018401,375,170,45.33333333
47037018404,191,110,57.59162304
47037018405,144,0,0
47037018407,41,0,0
47037018408,35,0,0
47037018409,274,0,0
47037018410,73,0,0
47037018500,141,15,10.63829787
47037018601,82,15,18.29268293
47037018602,73,0,0
47037018700,35,0,0
47037018801,117,48,41.02564103
47037018803,63,24,38.0952381
47037018804,15,0,0
47037018901,279,94,33.69175627
47037018902,91,19,20.87912088
47037018904,125,101,80.8
47037018905,200,133,66.5
47037019003,166,40,24.09638554
47037019004,190,85,44.73684211
47037019005,187,103,55.0802139
47037019006,155,59,38.06451613
47037019105,208,94,45.19230769
47037019106,148,23,15.54054054
47037019108,146,74,50.68493151
47037019109,197,57,28.93401015
47037019110,135,32,23.7037037
47037019111,195,109,55.8974359
47037019112,57,19,33.33333333
47037019114,282,21,7.446808511
47037019115,26,0,0
47037019116,259,83,32.04633205
47037019117,25,17,68
47037019118,291,202,69.41580756
47037019200,192,140,72.91666667
47037019300,168,79,47.02380952
47037019400,448,116,25.89285714
47037019500,1158,268,23.1433506
47037019600,260,99,38.07692308
47037980100,0,0,#DIV/0!
47037980200,0,0,#DIV/0!
