GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
1400000US47037010103,47037010103,"Census Tract 101.03, Davidson County, Tennessee",392,43
1400000US47037010104,47037010104,"Census Tract 101.04, Davidson County, Tennessee",607,78
1400000US47037010105,47037010105,"Census Tract 101.05, Davidson County, Tennessee",595,65
1400000US47037010106,47037010106,"Census Tract 101.06, Davidson County, Tennessee",446,190
1400000US47037010201,47037010201,"Census Tract 102.01, Davidson County, Tennessee",733,180
1400000US47037010202,47037010202,"Census Tract 102.02, Davidson County, Tennessee",637,150
1400000US47037010301,47037010301,"Census Tract 103.01, Davidson County, Tennessee",694,64
1400000US47037010302,47037010302,"Census Tract 103.02, Davidson County, Tennessee",794,117
1400000US47037010303,47037010303,"Census Tract 103.03, Davidson County, Tennessee",789,53
1400000US47037010401,47037010401,"Census Tract 104.01, Davidson County, Tennessee",756,89
1400000US47037010402,47037010402,"Census Tract 104.02, Davidson County, Tennessee",571,45
1400000US47037010501,47037010501,"Census Tract 105.01, Davidson County, Tennessee",421,216
1400000US47037010502,47037010502,"Census Tract 105.02, Davidson County, Tennessee",711,106
1400000US47037010601,47037010601,"Census Tract 106.01, Davidson County, Tennessee",510,63
1400000US47037010602,47037010602,"Census Tract 106.02, Davidson County, Tennessee",649,187
1400000US47037010701,47037010701,"Census Tract 107.01, Davidson County, Tennessee",591,26
1400000US47037010702,47037010702,"Census Tract 107.02, Davidson County, Tennessee",533,28
1400000US47037010801,47037010801,"Census Tract 108.01, Davidson County, Tennessee",645,39
1400000US47037010802,47037010802,"Census Tract 108.02, Davidson County, Tennessee",636,173
1400000US47037010901,47037010901,"Census Tract 109.01, Davidson County, Tennessee",617,36
1400000US47037010903,47037010903,"Census Tract 109.03, Davidson County, Tennessee",607,29
1400000US47037010904,47037010904,"Census Tract 109.04, Davidson County, Tennessee",519,45
1400000US47037011001,47037011001,"Census Tract 110.01, Davidson County, Tennessee",529,34
1400000US47037011002,47037011002,"Census Tract 110.02, Davidson County, Tennessee",583,45
1400000US47037011100,47037011100,"Census Tract 111, Davidson County, Tennessee",684,93
1400000US47037011200,47037011200,"Census Tract 112, Davidson County, Tennessee",683,45
1400000US47037011300,47037011300,"Census Tract 113, Davidson County, Tennessee",567,42
1400000US47037011400,47037011400,"Census Tract 114, Davidson County, Tennessee",543,52
1400000US47037011500,47037011500,"Census Tract 115, Davidson County, Tennessee",660,48
1400000US47037011600,47037011600,"Census Tract 116, Davidson County, Tennessee",713,59
1400000US47037011700,47037011700,"Census Tract 117, Davidson County, Tennessee",528,28
