GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
1400000US47037010104,47037010104,"Census Tract 101.04, Davidson County, Tennessee",868,90
1400000US47037010105,47037010105,"Census Tract 101.05, Davidson County, Tennessee",718,127
1400000US47037010106,47037010106,"Census Tract 101.06, Davidson County, Tennessee",546,199
1400000US47037010201,47037010201,"Census Tract 102.01, Davidson County, Tennessee",826,59
1400000US47037010202,47037010202,"Census Tract 102.02, Davidson County, Tennessee",784,138
1400000US47037010301,47037010301,"Census Tract 103.01, Davidson County, Tennessee",620,107
1400000US47037010302,47037010302,"Census Tract 103.02, Davidson County, Tennessee",768,64
1400000US47037010303,47037010303,"Census Tract 103.03, Davidson County, Tennessee",815,56
1400000US47037010401,47037010401,"Census Tract 104.01, Davidson County, Tennessee",768,48
1400000US47037010402,47037010402,"Census Tract 104.02, Davidson County, Tennessee",630,75
1400000US47037010501,47037010501,"Census Tract 105.01, Davidson County, Tennessee",640,98
1400000US47037010502,47037010502,"Census Tract 105.02, Davidson County, Tennessee",722,169
1400000US47037010601,47037010601,"Census Tract 106.01, Davidson County, Tennessee",565,92
1400000US47037010602,47037010602,"Census Tract 106.02, Davidson County, Tennessee",622,58
1400000US47037010701,47037010701,"Census Tract 107.01, Davidson County, Tennessee",600,28
1400000US47037010702,47037010702,"Census Tract 107.02, Davidson County, Tennessee",560,36
1400000US47037010801,47037010801,"Census Tract 108.01, Davidson County, Tennessee",691,36
1400000US47037010802,47037010802,"Census Tract 108.02, Davidson County, Tennessee",695,145
1400000US47037010901,47037010901,"Census Tract 109.01, Davidson County, Tennessee",696,76
1400000US47037010903,47037010903,"Census Tract 109.03, Davidson County, Tennessee",632,35
1400000US47037010904,47037010904,"Census Tract 109.04, Davidson County, Tennessee",619,109
1400000US47037011001,47037011001,"Census Tract 110.01, Davidson County, Tennessee",577,36
1400000US47037011002,47037011002,"Census Tract 110.02, Davidson County, Tennessee",579,37
1400000US47037011100,47037011100,"Census Tract 111, Davidson County, Tennessee",743,121
1400000US47037011200,47037011200,"Census Tract 112, Davidson County, Tennessee",738,58
1400000US47037011300,47037011300,"Census Tract 113, Davidson County, Tennessee",566,65
1400000US47037011400,47037011400,"Census Tract 114, Davidson County, Tennessee",672,147
1400000US47037011500,47037011500,"Census Tract 115, Davidson County, Tennessee",683,75
1400000US47037011600,47037011600,"Census Tract 116, Davidson County, Tennessee",762,62
1400000US47037011700,47037011700,"Census Tract 117, Davidson County, Tennessee",626,72
1400000US47037011800,47037011800,"Census Tract 118, Davidson County, Tennessee",604,90
1400000US47037011900,47037011900,"Census Tract 119, Davidson County, Tennessee",584,57
1400000US47037012100,47037012100,"Census Tract 121, Davidson County, Tennessee",680,105
1400000US47037012200,47037012200,"Census Tract 122, Davidson County, Tennessee",830,59
1400000US47037012600,47037012600,"Census Tract 126, Davidson County, Tennessee",617,23
1400000US47037012701,47037012701,"Census Tract 127.01, Davidson County, Tennessee",552,152
1400000US47037012702,47037012702,"Census Tract 127.02, Davidson County, Tennessee",667,197
1400000US47037012801,47037012801,"Census Tract 128.01, Davidson County, Tennessee",593,78
1400000US47037012802,47037012802,"Census Tract 128.02, Davidson County, Tennessee",717,93
1400000US47037013000,47037013000,"Census Tract 130, Davidson County, Tennessee",-,**
1400000US47037013100,47037013100,"Census Tract 131, Davidson County, Tennessee",719,540
1400000US47037013201,47037013201,"Census Tract 132.01, Davidson County, Tennessee",699,45
1400000US47037013202,47037013202,"Census Tract 132.02, Davidson County, Tennessee",746,72
1400000US47037013300,47037013300,"Census Tract 133, Davidson County, Tennessee",626,48
1400000US47037013400,47037013400,"Census Tract 134, Davidson County, Tennessee",971,184
1400000US47037013500,47037013500,"Census Tract 135, Davidson County, Tennessee",748,86
1400000US47037013601,47037013601,"Census Tract 136.01, Davidson County, Tennessee",492,41
1400000US47037013602,47037013602,"Census Tract 136.02, Davidson County, Tennessee",577,11
1400000US47037013700,47037013700,"Census Tract 137, Davidson County, Tennessee",566,40
1400000US47037013800,47037013800,"Census Tract 138, Davidson County, Tennessee",503,57
1400000US47037013900,47037013900,"Census Tract 139, Davidson County, Tennessee",525,18
1400000US47037014200,47037014200,"Census Tract 142, Davidson County, Tennessee",427,40
1400000US47037014300,47037014300,"Census Tract 143, Davidson County, Tennessee",547,53
1400000US47037014400,47037014400,"Census Tract 144, Davidson County, Tennessee",524,137
1400000US47037014800,47037014800,"Census Tract 148, Davidson County, Tennessee",100-,***
1400000US47037015100,47037015100,"Census Tract 151, Davidson County, Tennessee",786,54
1400000US47037015200,47037015200,"Census Tract 152, Davidson County, Tennessee",768,61
1400000US47037015300,47037015300,"Census Tract 153, Davidson County, Tennessee",1019,173
1400000US47037015401,47037015401,"Census Tract 154.01, Davidson County, Tennessee",728,66
1400000US47037015402,47037015402,"Census Tract 154.02, Davidson County, Tennessee",749,98
1400000US47037015404,47037015404,"Census Tract 154.04, Davidson County, Tennessee",689,19
1400000US47037015405,47037015405,"Census Tract 154.05, Davidson County, Tennessee",711,19
1400000US47037015501,47037015501,"Census Tract 155.01, Davidson County, Tennessee",828,38
1400000US47037015502,47037015502,"Census Tract 155.02, Davidson County, Tennessee",793,71
1400000US47037015609,47037015609,"Census Tract 156.09, Davidson County, Tennessee",884,39
1400000US47037015610,47037015610,"Census Tract 156.10, Davidson County, Tennessee",813,35
1400000US47037015612,47037015612,"Census Tract 156.12, Davidson County, Tennessee",824,62
1400000US47037015613,47037015613,"Census Tract 156.13, Davidson County, Tennessee",659,42
1400000US47037015614,47037015614,"Census Tract 156.14, Davidson County, Tennessee",737,41
1400000US47037015615,47037015615,"Census Tract 156.15, Davidson County, Tennessee",711,28
1400000US47037015617,47037015617,"Census Tract 156.17, Davidson County, Tennessee",788,199
1400000US47037015618,47037015618,"Census Tract 156.18, Davidson County, Tennessee",757,137
1400000US47037015619,47037015619,"Census Tract 156.19, Davidson County, Tennessee",838,139
1400000US47037015620,47037015620,"Census Tract 156.20, Davidson County, Tennessee",633,91
1400000US47037015622,47037015622,"Census Tract 156.22, Davidson County, Tennessee",547,68
1400000US47037015623,47037015623,"Census Tract 156.23, Davidson County, Tennessee",707,112
