GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
1400000US47037010103,47037010103,"Census Tract 101.03, Davidson County, Tennessee",455,137
1400000US47037010104,47037010104,"Census Tract 101.04, Davidson County, Tennessee",725,218
1400000US47037010105,47037010105,"Census Tract 101.05, Davidson County, Tennessee",583,93
1400000US47037010106,47037010106,"Census Tract 101.06, Davidson County, Tennessee",547,212
1400000US47037010201,47037010201,"Census Tract 102.01, Davidson County, Tennessee",770,163
1400000US47037010202,47037010202,"Census Tract 102.02, Davidson County, Tennessee",643,114
1400000US47037010301,47037010301,"Census Tract 103.01, Davidson County, Tennessee",697,64
1400000US47037010302,47037010302,"Census Tract 103.02, Davidson County, Tennessee",784,115
1400000US47037010303,47037010303,"Census Tract 103.03, Davidson County, Tennessee",762,43
1400000US47037010401,47037010401,"Census Tract 104.01, Davidson County, Tennessee",770,63
1400000US47037010402,47037010402,"Census Tract 104.02, Davidson County, Tennessee",584,49
1400000US47037010501,47037010501,"Census Tract 105.01, Davidson County, Tennessee",519,120
1400000US47037010502,47037010502,"Census Tract 105.02, Davidson County, Tennessee",734,90
1400000US47037010601,47037010601,"Census Tract 106.01, Davidson County, Tennessee",522,110
1400000US47037010602,47037010602,"Census Tract 106.02, Davidson County, Tennessee",658,80
1400000US47037010701,47037010701,"Census Tract 107.01, Davidson County, Tennessee",600,26
1400000US47037010702,47037010702,"Census Tract 107.02, Davidson County, Tennessee",528,21
1400000US47037010801,47037010801,"Census Tract 108.01, Davidson County, Tennessee",676,37
1400000US47037010802,47037010802,"Census Tract 108.02, Davidson County, Tennessee",804,266
1400000US47037010901,47037010901,"Census Tract 109.01, Davidson County, Tennessee",642,49
1400000US47037010903,47037010903,"Census Tract 109.03, Davidson County, Tennessee",629,40
1400000US47037010904,47037010904,"Census Tract 109.04, Davidson County, Tennessee",532,63
1400000US47037011001,47037011001,"Census Tract 110.01, Davidson County, Tennessee",532,24
1400000US47037011002,47037011002,"Census Tract 110.02, Davidson County, Tennessee",582,37
1400000US47037011100,47037011100,"Census Tract 111, Davidson County, Tennessee",698,129
1400000US47037011200,47037011200,"Census Tract 112, Davidson County, Tennessee",681,71
1400000US47037011300,47037011300,"Census Tract 113, Davidson County, Tennessee",572,63
1400000US47037011400,47037011400,"Census Tract 114, Davidson County, Tennessee",580,38
1400000US47037011500,47037011500,"Census Tract 115, Davidson County, Tennessee",642,56
1400000US47037011600,47037011600,"Census Tract 116, Davidson County, Tennessee",713,114
1400000US47037011700,47037011700,"Census Tract 117, Davidson County, Tennessee",529,36
1400000US47037011800,47037011800,"Census Tract 118, Davidson County, Tennessee",666,81
1400000US47037011900,47037011900,"Census Tract 119, Davidson County, Tennessee",521,71
1400000US47037012100,47037012100,"Census Tract 121, Davidson County, Tennessee",611,115
1400000US47037012200,47037012200,"Census Tract 122, Davidson County, Tennessee",822,64
1400000US47037012600,47037012600,"Census Tract 126, Davidson County, Tennessee",586,29
1400000US47037012701,47037012701,"Census Tract 127.01, Davidson County, Tennessee",568,142
1400000US47037012702,47037012702,"Census Tract 127.02, Davidson County, Tennessee",599,213
1400000US47037012801,47037012801,"Census Tract 128.01, Davidson County, Tennessee",564,54
1400000US47037012802,47037012802,"Census Tract 128.02, Davidson County, Tennessee",667,82
1400000US47037013000,47037013000,"Census Tract 130, Davidson County, Tennessee",-,**
1400000US47037013100,47037013100,"Census Tract 131, Davidson County, Tennessee",564,197
1400000US47037013201,47037013201,"Census Tract 132.01, Davidson County, Tennessee",681,13
1400000US47037013202,47037013202,"Census Tract 132.02, Davidson County, Tennessee",730,97
1400000US47037013300,47037013300,"Census Tract 133, Davidson County, Tennessee",627,31
1400000US47037013400,47037013400,"Census Tract 134, Davidson County, Tennessee",930,118
1400000US47037013500,47037013500,"Census Tract 135, Davidson County, Tennessee",700,76
1400000US47037013601,47037013601,"Census Tract 136.01, Davidson County, Tennessee",434,49
1400000US47037013602,47037013602,"Census Tract 136.02, Davidson County, Tennessee",556,356
1400000US47037013700,47037013700,"Census Tract 137, Davidson County, Tennessee",550,87
1400000US47037013800,47037013800,"Census Tract 138, Davidson County, Tennessee",484,67
1400000US47037013900,47037013900,"Census Tract 139, Davidson County, Tennessee",495,47
1400000US47037014200,47037014200,"Census Tract 142, Davidson County, Tennessee",437,25
1400000US47037014300,47037014300,"Census Tract 143, Davidson County, Tennessee",534,35
1400000US47037014400,47037014400,"Census Tract 144, Davidson County, Tennessee",564,105
1400000US47037014800,47037014800,"Census Tract 148, Davidson County, Tennessee",100-,***
1400000US47037015100,47037015100,"Census Tract 151, Davidson County, Tennessee",727,29
1400000US47037015200,47037015200,"Census Tract 152, Davidson County, Tennessee",640,181
1400000US47037015300,47037015300,"Census Tract 153, Davidson County, Tennessee",831,147
1400000US47037015401,47037015401,"Census Tract 154.01, Davidson County, Tennessee",713,50
1400000US47037015402,47037015402,"Census Tract 154.02, Davidson County, Tennessee",672,40
