GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1400000US47037010103,47037010103,"Census Tract 101.03, Davidson County, Tennessee",150,108,0,127,0,127,66,83,0,127,0,127,0,127,84,82
1400000US47037010104,47037010104,"Census Tract 101.04, Davidson County, Tennessee",65,57,0,127,0,127,0,127,0,127,0,127,0,127,65,57
1400000US47037010105,47037010105,"Census Tract 101.05, Davidson County, Tennessee",109,89,0,127,0,127,0,127,0,127,0,127,0,127,109,89
1400000US47037010106,47037010106,"Census Tract 101.06, Davidson County, Tennessee",74,66,0,127,0,127,30,49,0,127,0,127,0,127,44,61
1400000US47037010201,47037010201,"Census Tract 102.01, Davidson County, Tennessee",100,101,0,127,0,127,100,101,0,127,0,127,0,127,0,127
1400000US47037010202,47037010202,"Census Tract 102.02, Davidson County, Tennessee",20,33,0,127,0,127,0,127,0,127,0,127,0,127,20,33
1400000US47037010301,47037010301,"Census Tract 103.01, Davidson County, Tennessee",105,87,0,127,0,127,0,127,0,127,0,127,0,127,105,87
1400000US47037010302,47037010302,"Census Tract 103.02, Davidson County, Tennessee",107,86,71,57,0,127,0,127,0,127,0,127,0,127,36,57
1400000US47037010303,47037010303,"Census Tract 103.03, Davidson County, Tennessee",182,132,99,101,0,127,62,93,0,127,21,32,0,127,0,127
1400000US47037010401,47037010401,"Census Tract 104.01, Davidson County, Tennessee",191,100,83,79,31,49,0,127,46,49,0,127,0,127,31,48
1400000US47037010402,47037010402,"Census Tract 104.02, Davidson County, Tennessee",242,115,242,115,0,127,0,127,0,127,0,127,0,127,0,127
1400000US47037010501,47037010501,"Census Tract 105.01, Davidson County, Tennessee",202,122,0,127,0,127,0,127,77,83,37,60,0,127,88,88
1400000US47037010502,47037010502,"Census Tract 105.02, Davidson County, Tennessee",209,100,17,26,0,127,68,68,0,127,41,48,0,127,83,69
1400000US47037010601,47037010601,"Census Tract 106.01, Davidson County, Tennessee",291,107,112,98,71,80,50,61,0,127,0,127,0,127,58,66
1400000US47037010602,47037010602,"Census Tract 106.02, Davidson County, Tennessee",155,112,75,78,0,127,42,66,0,127,0,127,0,127,38,56
1400000US47037010701,47037010701,"Census Tract 107.01, Davidson County, Tennessee",271,101,95,75,42,47,84,65,0,127,0,127,0,127,50,49
1400000US47037010702,47037010702,"Census Tract 107.02, Davidson County, Tennessee",360,144,251,128,59,68,25,38,0,127,25,42,0,127,0,127
1400000US47037010801,47037010801,"Census Tract 108.01, Davidson County, Tennessee",120,106,120,106,0,127,0,127,0,127,0,127,0,127,0,127
1400000US47037010802,47037010802,"Census Tract 108.02, Davidson County, Tennessee",104,78,14,21,0,127,60,72,15,24,0,127,0,127,15,24
1400000US47037010901,47037010901,"Census Tract 109.01, Davidson County, Tennessee",169,74,101,64,0,127,20,31,20,31,0,127,0,127,28,33
1400000US47037010903,47037010903,"Census Tract 109.03, Davidson County, Tennessee",230,97,130,74,0,127,20,29,0,127,0,127,0,127,80,58
1400000US47037010904,47037010904,"Census Tract 109.04, Davidson County, Tennessee",88,61,65,49,0,127,0,127,23,37,0,127,0,127,0,127
1400000US47037011001,47037011001,"Census Tract 110.01, Davidson County, Tennessee",315,162,222,158,0,127,32,52,29,45,0,127,0,127,32,51
1400000US47037011002,47037011002,"Census Tract 110.02, Davidson County, Tennessee",101,79,55,64,0,127,23,37,0,127,0,127,0,127,23,36
1400000US47037011100,47037011100,"Census Tract 111, Davidson County, Tennessee",217,94,47,47,29,47,73,61,0,127,12,18,0,127,56,54
1400000US47037011200,47037011200,"Census Tract 112, Davidson County, Tennessee",174,113,55,63,0,127,24,35,24,37,0,127,0,127,71,73
1400000US47037011300,47037011300,"Census Tract 113, Davidson County, Tennessee",341,150,161,106,0,127,56,66,0,127,0,127,0,127,124,80
1400000US47037011400,47037011400,"Census Tract 114, Davidson County, Tennessee",301,129,93,73,0,127,33,53,21,34,25,41,0,127,129,98
1400000US47037011500,47037011500,"Census Tract 115, Davidson County, Tennessee",165,109,32,48,0,127,72,78,0,127,0,127,0,127,61,65
1400000US47037011600,47037011600,"Census Tract 116, Davidson County, Tennessee",69,71,55,69,0,127,0,127,0,127,14,23,0,127,0,127
1400000US47037011700,47037011700,"Census Tract 117, Davidson County, Tennessee",443,207,175,129,0,127,83,95,0,127,0,127,0,127,185,147
1400000US47037011800,47037011800,"Census Tract 118, Davidson County, Tennessee",194,106,77,68,21,35,51,55,0,127,0,127,0,127,45,53
1400000US47037011900,47037011900,"Census Tract 119, Davidson County, Tennessee",220,114,84,66,20,32,20,33,0,127,0,127,0,127,96,81
1400000US47037012100,47037012100,"Census Tract 121, Davidson County, Tennessee",50,59,0,127,0,127,0,127,0,127,0,127,0,127,50,59
1400000US47037012200,47037012200,"Census Tract 122, Davidson County, Tennessee",21,32,0,127,0,127,0,127,0,127,0,127,0,127,21,32
1400000US47037012600,47037012600,"Census Tract 126, Davidson County, Tennessee",175,93,0,127,46,56,50,52,25,40,4,10,0,127,50,54
1400000US47037012701,47037012701,"Census Tract 127.01, Davidson County, Tennessee",182,113,85,92,0,127,0,127,0,127,0,127,0,127,97,95
1400000US47037012702,47037012702,"Census Tract 127.02, Davidson County, Tennessee",193,95,56,62,0,127,78,73,0,127,0,127,0,127,59,63
1400000US47037012801,47037012801,"Census Tract 128.01, Davidson County, Tennessee",254,111,0,127,41,66,34,57,0,127,0,127,0,127,179,86
1400000US47037012802,47037012802,"Census Tract 128.02, Davidson County, Tennessee",171,78,19,30,0,127,62,55,51,52,0,127,0,127,39,47
1400000US47037013000,47037013000,"Census Tract 130, Davidson County, Tennessee",0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US47037013100,47037013100,"Census Tract 131, Davidson County, Tennessee",79,65,52,56,27,42,0,127,0,127,0,127,0,127,0,127
1400000US47037013201,47037013201,"Census Tract 132.01, Davidson County, Tennessee",114,104,92,99,0,127,11,19,0,127,0,127,0,127,11,18
1400000US47037013202,47037013202,"Census Tract 132.02, Davidson County, Tennessee",174,104,44,67,0,127,0,127,0,127,10,17,0,127,120,81
1400000US47037013300,47037013300,"Census Tract 133, Davidson County, Tennessee",206,97,128,77,0,127,0,127,23,38,0,127,0,127,55,53
1400000US47037013400,47037013400,"Census Tract 134, Davidson County, Tennessee",304,151,78,78,0,127,30,48,0,127,81,78,0,127,115,98
1400000US47037013500,47037013500,"Census Tract 135, Davidson County, Tennessee",149,86,117,82,0,127,0,127,0,127,10,17,0,127,22,35
1400000US47037013601,47037013601,"Census Tract 136.01, Davidson County, Tennessee",161,103,48,54,21,33,45,52,0,127,0,127,0,127,47,52
1400000US47037013602,47037013602,"Census Tract 136.02, Davidson County, Tennessee",43,49,0,127,0,127,0,127,0,127,0,127,0,127,43,49
1400000US47037013700,47037013700,"Census Tract 137, Davidson County, Tennessee",382,177,113,102,46,73,27,44,0,127,0,127,0,127,196,131
1400000US47037013800,47037013800,"Census Tract 138, Davidson County, Tennessee",120,69,44,51,24,40,0,127,0,127,0,127,0,127,52,56
1400000US47037013900,47037013900,"Census Tract 139, Davidson County, Tennessee",161,78,67,54,11,16,26,28,11,18,0,127,0,127,46,38
1400000US47037014200,47037014200,"Census Tract 142, Davidson County, Tennessee",165,73,81,53,31,35,0,127,0,127,0,127,0,127,53,42
1400000US47037014300,47037014300,"Census Tract 143, Davidson County, Tennessee",191,99,93,78,0,127,0,127,0,127,0,127,0,127,98,71
1400000US47037014400,47037014400,"Census Tract 144, Davidson County, Tennessee",126,76,40,47,0,127,0,127,0,127,0,127,0,127,86,67
1400000US47037014800,47037014800,"Census Tract 148, Davidson County, Tennessee",176,91,54,49,0,127,0,127,22,40,6,13,0,127,94,68
1400000US47037015100,47037015100,"Census Tract 151, Davidson County, Tennessee",98,97,0,127,0,127,17,29,0,127,0,127,0,127,81,86
1400000US47037015200,47037015200,"Census Tract 152, Davidson County, Tennessee",55,56,0,127,0,127,27,41,0,127,0,127,0,127,28,43
1400000US47037015300,47037015300,"Census Tract 153, Davidson County, Tennessee",135,112,0,127,0,127,0,127,48,72,0,127,0,127,87,82
1400000US47037015401,47037015401,"Census Tract 154.01, Davidson County, Tennessee",110,96,0,127,0,127,80,82,30,48,0,127,0,127,0,127
1400000US47037015402,47037015402,"Census Tract 154.02, Davidson County, Tennessee",113,73,54,59,0,127,59,60,0,127,0,127,0,127,0,127
1400000US47037015404,47037015404,"Census Tract 154.04, Davidson County, Tennessee",205,101,150,85,0,127,28,46,0,127,0,127,0,127,27,45
1400000US47037015405,47037015405,"Census Tract 154.05, Davidson County, Tennessee",157,80,27,45,28,44,72,66,0,127,0,127,0,127,30,44
1400000US47037015501,47037015501,"Census Tract 155.01, Davidson County, Tennessee",112,84,0,127,82,76,0,127,30,43,0,127,0,127,0,127
1400000US47037015502,47037015502,"Census Tract 155.02, Davidson County, Tennessee",74,67,74,67,0,127,0,127,0,127,0,127,0,127,0,127
1400000US47037015609,47037015609,"Census Tract 156.09, Davidson County, Tennessee",207,99,152,83,39,45,0,127,0,127,0,127,0,127,16,26
1400000US47037015610,47037015610,"Census Tract 156.10, Davidson County, Tennessee",220,131,167,106,53,75,0,127,0,127,0,127,0,127,0,127
1400000US47037015612,47037015612,"Census Tract 156.12, Davidson County, Tennessee",173,124,129,121,0,127,0,127,0,127,44,57,0,127,0,127
1400000US47037015613,47037015613,"Census Tract 156.13, Davidson County, Tennessee",194,89,104,62,23,30,36,42,0,127,8,12,0,127,23,37
1400000US47037015614,47037015614,"Census Tract 156.14, Davidson County, Tennessee",108,80,0,127,0,127,0,127,0,127,25,43,0,127,83,68
1400000US47037015615,47037015615,"Census Tract 156.15, Davidson County, Tennessee",86,73,13,23,0,127,30,36,0,127,0,127,0,127,43,46
1400000US47037015617,47037015617,"Census Tract 156.17, Davidson County, Tennessee",32,42,0,127,0,127,8,15,0,127,0,127,0,127,24,39
1400000US47037015618,47037015618,"Census Tract 156.18, Davidson County, Tennessee",211,136,42,65,51,69,40,65,0,127,0,127,0,127,78,86
1400000US47037015619,47037015619,"Census Tract 156.19, Davidson County, Tennessee",105,87,0,127,0,127,54,61,0,127,17,25,0,127,34,53
1400000US47037015620,47037015620,"Census Tract 156.20, Davidson County, Tennessee",104,85,14,26,15,25,0,127,0,127,0,127,0,127,75,83
1400000US47037015622,47037015622,"Census Tract 156.22, Davidson County, Tennessee",121,98,0,127,0,127,89,90,0,127,0,127,0,127,32,52
1400000US47037015623,47037015623,"Census Tract 156.23, Davidson County, Tennessee",161,132,121,115,40,64,0,127,0,127,0,127,0,127,0,127
1400000US47037015624,47037015624,"Census Tract 156.24, Davidson County, Tennessee",208,152,81,89,0,127,79,88,0,127,0,127,0,127,48,75
1400000US47037015625,47037015625,"Census Tract 156.25, Davidson County, Tennessee",171,106,39,63,58,65,37,59,0,127,37,44,0,127,0,127
1400000US47037015626,47037015626,"Census Tract 156.26, Davidson County, Tennessee",198,117,120,105,0,127,41,47,28,44,0,127,0,127,9,15
1400000US47037015627,47037015627,"Census Tract 156.27, Davidson County, Tennessee",43,43,0,127,0,127,17,28,0,127,0,127,0,127,26,33
1400000US47037015628,47037015628,"Census Tract 156.28, Davidson County, Tennessee",125,119,83,91,0,127,42,68,0,127,0,127,0,127,0,127
1400000US47037015629,47037015629,"Census Tract 156.29, Davidson County, Tennessee",456,181,372,166,45,67,0,127,0,127,39,63,0,127,0,127
1400000US47037015630,47037015630,"Census Tract 156.30, Davidson County, Tennessee",65,53,23,25,0,127,21,33,21,35,0,127,0,127,0,127
1400000US47037015631,47037015631,"Census Tract 156.31, Davidson County, Tennessee",190,112,41,65,0,127,45,64,0,127,0,127,0,127,104,85
1400000US47037015700,47037015700,"Census Tract 157, Davidson County, Tennessee",30,46,0,127,0,127,30,46,0,127,0,127,0,127,0,127
1400000US47037015802,47037015802,"Census Tract 158.02, Davidson County, Tennessee",262,131,262,131,0,127,0,127,0,127,0,127,0,127,0,127
1400000US47037015803,47037015803,"Census Tract 158.03, Davidson County, Tennessee",401,114,353,112,48,54,0,127,0,127,0,127,0,127,0,127
