GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1400000US47037010103,47037010103,"Census Tract 101.03, Davidson County, Tennessee",170,133,0,95,0,95,70,89,0,95,0,95,0,95,100,106
1400000US47037010104,47037010104,"Census Tract 101.04, Davidson County, Tennessee",70,62,0,95,0,95,0,95,0,95,0,95,0,95,70,62
1400000US47037010105,47037010105,"Census Tract 101.05, Davidson County, Tennessee",78,77,0,95,0,95,0,95,0,95,0,95,0,95,78,77
1400000US47037010106,47037010106,"Census Tract 101.06, Davidson County, Tennessee",28,48,0,95,0,95,28,48,0,95,0,95,0,95,0,95
1400000US47037010201,47037010201,"Census Tract 102.01, Davidson County, Tennessee",100,93,0,95,0,95,100,93,0,95,0,95,0,95,0,95
1400000US47037010202,47037010202,"Census Tract 102.02, Davidson County, Tennessee",68,74,50,73,0,95,0,95,0,95,0,95,0,95,18,26
1400000US47037010301,47037010301,"Census Tract 103.01, Davidson County, Tennessee",205,110,99,89,0,95,0,95,0,95,0,95,0,95,106,88
1400000US47037010302,47037010302,"Census Tract 103.02, Davidson County, Tennessee",191,102,128,69,0,95,0,95,0,95,0,95,0,95,63,72
1400000US47037010303,47037010303,"Census Tract 103.03, Davidson County, Tennessee",164,116,94,96,0,95,53,80,0,95,17,28,0,95,0,95
1400000US47037010401,47037010401,"Census Tract 104.01, Davidson County, Tennessee",184,116,89,81,32,52,0,95,0,95,0,95,0,95,63,70
1400000US47037010402,47037010402,"Census Tract 104.02, Davidson County, Tennessee",308,144,249,132,0,95,31,51,0,95,0,95,0,95,28,44
1400000US47037010501,47037010501,"Census Tract 105.01, Davidson County, Tennessee",221,133,0,95,0,95,0,95,71,81,35,55,0,95,115,96
1400000US47037010502,47037010502,"Census Tract 105.02, Davidson County, Tennessee",203,83,17,26,0,95,50,49,0,95,41,46,0,95,95,56
1400000US47037010601,47037010601,"Census Tract 106.01, Davidson County, Tennessee",319,120,116,105,71,78,51,64,0,95,0,95,0,95,81,90
1400000US47037010602,47037010602,"Census Tract 106.02, Davidson County, Tennessee",117,91,78,71,0,95,39,61,0,95,0,95,0,95,0,95
1400000US47037010701,47037010701,"Census Tract 107.01, Davidson County, Tennessee",309,121,78,68,49,68,98,74,0,95,0,95,0,95,84,59
1400000US47037010702,47037010702,"Census Tract 107.02, Davidson County, Tennessee",264,105,227,105,0,95,23,37,0,95,0,95,0,95,14,24
1400000US47037010801,47037010801,"Census Tract 108.01, Davidson County, Tennessee",92,102,60,91,0,95,32,48,0,95,0,95,0,95,0,95
1400000US47037010802,47037010802,"Census Tract 108.02, Davidson County, Tennessee",134,89,51,64,0,95,55,66,14,21,0,95,0,95,14,22
1400000US47037010901,47037010901,"Census Tract 109.01, Davidson County, Tennessee",148,75,91,66,0,95,22,34,0,95,5,10,0,95,30,37
1400000US47037010903,47037010903,"Census Tract 109.03, Davidson County, Tennessee",271,107,146,82,0,95,47,53,0,95,0,95,0,95,78,60
1400000US47037010904,47037010904,"Census Tract 109.04, Davidson County, Tennessee",96,68,74,60,0,95,0,95,22,32,0,95,0,95,0,95
1400000US47037011001,47037011001,"Census Tract 110.01, Davidson County, Tennessee",269,132,210,123,0,95,30,48,0,95,0,95,0,95,29,47
1400000US47037011002,47037011002,"Census Tract 110.02, Davidson County, Tennessee",116,82,29,38,0,95,25,40,0,95,0,95,0,95,62,58
1400000US47037011100,47037011100,"Census Tract 111, Davidson County, Tennessee",180,95,40,44,24,37,51,54,0,95,0,95,0,95,65,60
1400000US47037011200,47037011200,"Census Tract 112, Davidson County, Tennessee",192,118,50,52,0,95,28,43,30,47,0,95,0,95,84,87
1400000US47037011300,47037011300,"Census Tract 113, Davidson County, Tennessee",333,141,162,116,0,95,50,60,0,95,0,95,0,95,121,91
1400000US47037011400,47037011400,"Census Tract 114, Davidson County, Tennessee",334,113,96,100,8,12,0,95,19,30,33,42,0,95,178,109
1400000US47037011500,47037011500,"Census Tract 115, Davidson County, Tennessee",226,104,0,95,0,95,54,55,0,95,0,95,0,95,172,95
1400000US47037011600,47037011600,"Census Tract 116, Davidson County, Tennessee",57,62,45,58,0,95,0,95,0,95,12,20,0,95,0,95
1400000US47037011700,47037011700,"Census Tract 117, Davidson County, Tennessee",395,187,129,120,0,95,51,81,0,95,0,95,0,95,215,128
1400000US47037011800,47037011800,"Census Tract 118, Davidson County, Tennessee",205,99,87,70,20,32,43,50,0,95,0,95,0,95,55,50
1400000US47037011900,47037011900,"Census Tract 119, Davidson County, Tennessee",246,106,94,69,17,28,22,25,0,95,0,95,0,95,113,68
1400000US47037012100,47037012100,"Census Tract 121, Davidson County, Tennessee",59,59,0,95,0,95,0,95,0,95,0,95,0,95,59,59
1400000US47037012200,47037012200,"Census Tract 122, Davidson County, Tennessee",73,66,0,95,0,95,24,35,0,95,0,95,0,95,49,52
1400000US47037012600,47037012600,"Census Tract 126, Davidson County, Tennessee",118,71,0,95,28,44,40,47,0,95,10,15,0,95,40,39
1400000US47037012701,47037012701,"Census Tract 127.01, Davidson County, Tennessee",193,113,76,85,0,95,0,95,29,44,0,95,0,95,88,89
1400000US47037012702,47037012702,"Census Tract 127.02, Davidson County, Tennessee",208,89,56,51,0,95,65,68,0,95,0,95,0,95,87,63
1400000US47037012801,47037012801,"Census Tract 128.01, Davidson County, Tennessee",273,105,0,95,40,61,34,55,0,95,15,24,0,95,184,88
