GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1400000US47037010103,47037010103,"Census Tract 101.03, Davidson County, Tennessee",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47037010104,47037010104,"Census Tract 101.04, Davidson County, Tennessee",47,36,0,12,0,12,40,33,0,12,0,12,0,12,7,11
1400000US47037010105,47037010105,"Census Tract 101.05, Davidson County, Tennessee",158,91,22,36,0,12,0,12,0,12,28,44,0,12,108,72
1400000US47037010106,47037010106,"Census Tract 101.06, Davidson County, Tennessee",33,31,0,12,0,12,0,12,0,12,0,12,0,12,33,31
1400000US47037010201,47037010201,"Census Tract 102.01, Davidson County, Tennessee",189,112,0,12,0,12,25,38,0,12,0,12,0,12,164,105
1400000US47037010202,47037010202,"Census Tract 102.02, Davidson County, Tennessee",92,82,40,60,0,12,0,12,34,51,0,12,0,12,18,20
1400000US47037010301,47037010301,"Census Tract 103.01, Davidson County, Tennessee",213,92,105,62,0,12,25,39,30,39,0,12,0,12,53,54
1400000US47037010302,47037010302,"Census Tract 103.02, Davidson County, Tennessee",248,98,97,73,12,20,0,12,12,20,14,23,0,12,113,66
1400000US47037010303,47037010303,"Census Tract 103.03, Davidson County, Tennessee",190,135,0,12,54,87,0,12,0,12,0,12,0,12,136,106
1400000US47037010401,47037010401,"Census Tract 104.01, Davidson County, Tennessee",358,119,97,70,91,78,0,17,0,17,9,13,0,17,161,88
