GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1400000US47037010103,47037010103,"Census Tract 101.03, Davidson County, Tennessee",87,94,0,12,0,12,42,62,0,12,0,12,0,12,45,68
1400000US47037010104,47037010104,"Census Tract 101.04, Davidson County, Tennessee",58,49,0,12,0,12,15,25,0,12,0,12,0,12,43,43
1400000US47037010105,47037010105,"Census Tract 101.05, Davidson County, Tennessee",170,94,24,41,0,12,0,12,0,12,0,12,0,12,146,84
1400000US47037010106,47037010106,"Census Tract 101.06, Davidson County, Tennessee",40,43,0,12,0,12,25,39,0,12,0,12,0,12,15,21
1400000US47037010201,47037010201,"Census Tract 102.01, Davidson County, Tennessee",73,68,0,12,0,12,41,48,0,12,0,12,0,12,32,50
1400000US47037010202,47037010202,"Census Tract 102.02, Davidson County, Tennessee",65,75,43,70,0,12,0,12,0,12,0,12,0,12,22,26
1400000US47037010301,47037010301,"Census Tract 103.01, Davidson County, Tennessee",260,105,75,59,0,12,23,36,34,43,0,12,0,12,128,82
1400000US47037010302,47037010302,"Census Tract 103.02, Davidson County, Tennessee",178,88,94,76,0,12,0,12,0,12,0,12,0,12,84,61
1400000US47037010303,47037010303,"Census Tract 103.03, Davidson County, Tennessee",274,169,81,92,39,64,47,74,0,12,16,26,0,12,91,107
1400000US47037010401,47037010401,"Census Tract 104.01, Davidson County, Tennessee",392,125,111,78,120,100,0,12,0,12,9,13,0,12,152,101
1400000US47037010402,47037010402,"Census Tract 104.02, Davidson County, Tennessee",482,184,281,138,0,17,42,55,0,17,0,17,0,17,159,98
1400000US47037010501,47037010501,"Census Tract 105.01, Davidson County, Tennessee",137,99,0,17,0,17,0,17,35,54,0,17,0,17,102,90
1400000US47037010502,47037010502,"Census Tract 105.02, Davidson County, Tennessee",190,99,29,45,0,12,75,62,0,12,40,43,0,12,46,43
1400000US47037010601,47037010601,"Census Tract 106.01, Davidson County, Tennessee",278,139,85,78,0,12,77,82,42,68,0,12,0,12,74,81
1400000US47037010602,47037010602,"Census Tract 106.02, Davidson County, Tennessee",178,91,65,61,0,12,35,57,0,12,0,12,0,12,78,79
1400000US47037010701,47037010701,"Census Tract 107.01, Davidson County, Tennessee",319,112,152,85,0,12,75,68,0,12,0,12,0,12,92,75
1400000US47037010702,47037010702,"Census Tract 107.02, Davidson County, Tennessee",252,106,213,100,15,24,0,12,7,11,0,12,0,12,17,26
1400000US47037010801,47037010801,"Census Tract 108.01, Davidson County, Tennessee",201,143,37,60,0,17,39,65,0,17,14,22,0,17,111,109
1400000US47037010802,47037010802,"Census Tract 108.02, Davidson County, Tennessee",142,82,49,61,19,26,49,58,12,20,0,12,0,12,13,20
1400000US47037010901,47037010901,"Census Tract 109.01, Davidson County, Tennessee",210,84,94,57,0,12,34,37,0,12,24,28,0,12,58,48
