GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1400000US47037010103,47037010103,"Census Tract 101.03, Davidson County, Tennessee",98,106,0,12,0,12,50,75,0,12,0,12,0,12,48,72
1400000US47037010104,47037010104,"Census Tract 101.04, Davidson County, Tennessee",72,60,0,12,0,12,18,30,0,12,0,12,0,12,54,55
1400000US47037010105,47037010105,"Census Tract 101.05, Davidson County, Tennessee",119,77,0,12,0,12,0,12,0,12,0,12,0,12,119,77
1400000US47037010106,47037010106,"Census Tract 101.06, Davidson County, Tennessee",59,58,0,12,0,12,36,54,0,12,0,12,0,12,23,32
1400000US47037010201,47037010201,"Census Tract 102.01, Davidson County, Tennessee",82,81,0,12,0,12,82,81,0,12,0,12,0,12,0,12
1400000US47037010202,47037010202,"Census Tract 102.02, Davidson County, Tennessee",86,81,44,70,0,12,0,12,0,12,0,12,0,12,42,39
1400000US47037010301,47037010301,"Census Tract 103.01, Davidson County, Tennessee",208,103,71,60,0,12,24,38,32,42,0,12,0,12,81,78
1400000US47037010302,47037010302,"Census Tract 103.02, Davidson County, Tennessee",191,99,122,90,0,12,0,12,0,12,0,12,0,12,69,75
1400000US47037010303,47037010303,"Census Tract 103.03, Davidson County, Tennessee",174,113,113,86,0,12,46,74,0,12,15,24,0,12,0,12
1400000US47037010401,47037010401,"Census Tract 104.01, Davidson County, Tennessee",276,117,130,81,53,60,0,12,0,12,0,12,0,12,93,86
1400000US47037010402,47037010402,"Census Tract 104.02, Davidson County, Tennessee",393,137,315,137,0,17,37,60,0,17,0,17,0,17,41,45
1400000US47037010501,47037010501,"Census Tract 105.01, Davidson County, Tennessee",162,96,0,12,0,12,0,12,34,51,0,12,0,12,128,87
1400000US47037010502,47037010502,"Census Tract 105.02, Davidson County, Tennessee",234,92,0,12,0,12,82,68,0,12,50,54,0,12,102,78
1400000US47037010601,47037010601,"Census Tract 106.01, Davidson County, Tennessee",280,129,89,80,60,65,68,65,0,12,0,12,0,12,63,69
1400000US47037010602,47037010602,"Census Tract 106.02, Davidson County, Tennessee",121,111,82,76,0,12,39,57,0,12,0,12,0,12,0,12
1400000US47037010701,47037010701,"Census Tract 107.01, Davidson County, Tennessee",266,104,99,82,28,45,53,59,0,12,0,12,0,12,86,73
1400000US47037010702,47037010702,"Census Tract 107.02, Davidson County, Tennessee",282,124,243,116,16,25,0,12,7,11,0,12,0,12,16,26
1400000US47037010801,47037010801,"Census Tract 108.01, Davidson County, Tennessee",166,124,96,104,0,17,31,49,0,17,14,24,0,17,25,43
1400000US47037010802,47037010802,"Census Tract 108.02, Davidson County, Tennessee",135,77,52,54,0,12,54,64,14,22,0,12,0,12,15,22
1400000US47037010901,47037010901,"Census Tract 109.01, Davidson County, Tennessee",203,89,104,63,0,12,28,32,0,12,25,28,0,12,46,45
1400000US47037010903,47037010903,"Census Tract 109.03, Davidson County, Tennessee",227,85,51,50,0,12,37,39,0,12,0,12,0,12,139,71
1400000US47037010904,47037010904,"Census Tract 109.04, Davidson County, Tennessee",142,87,105,64,0,12,0,12,0,12,0,12,0,12,37,52
1400000US47037011001,47037011001,"Census Tract 110.01, Davidson County, Tennessee",250,117,196,119,0,17,27,44,0,17,0,17,0,17,27,43
1400000US47037011002,47037011002,"Census Tract 110.02, Davidson County, Tennessee",87,63,0,12,0,12,18,29,0,12,0,12,0,12,69,57
1400000US47037011100,47037011100,"Census Tract 111, Davidson County, Tennessee",141,77,34,43,0,12,51,55,0,12,0,12,0,12,56,53
1400000US47037011200,47037011200,"Census Tract 112, Davidson County, Tennessee",191,95,41,48,0,12,34,52,0,12,0,12,0,12,116,79
1400000US47037011300,47037011300,"Census Tract 113, Davidson County, Tennessee",375,150,141,109,0,12,75,77,0,12,0,12,0,12,159,94
1400000US47037011400,47037011400,"Census Tract 114, Davidson County, Tennessee",319,124,77,70,28,34,0,17,43,51,32,41,0,17,139,73
1400000US47037011500,47037011500,"Census Tract 115, Davidson County, Tennessee",229,95,0,12,0,12,45,48,0,12,0,12,0,12,184,92
1400000US47037011600,47037011600,"Census Tract 116, Davidson County, Tennessee",156,89,131,85,0,17,0,17,0,17,25,22,0,17,0,17
1400000US47037011700,47037011700,"Census Tract 117, Davidson County, Tennessee",360,167,125,113,0,17,53,83,0,17,0,17,0,17,182,116
1400000US47037011800,47037011800,"Census Tract 118, Davidson County, Tennessee",168,73,57,52,20,32,15,25,14,22,7,11,0,12,55,52
1400000US47037011900,47037011900,"Census Tract 119, Davidson County, Tennessee",192,119,89,92,0,12,35,30,0,12,0,12,0,12,68,53
1400000US47037012100,47037012100,"Census Tract 121, Davidson County, Tennessee",63,59,0,12,0,12,0,12,0,12,0,12,0,12,63,59
1400000US47037012200,47037012200,"Census Tract 122, Davidson County, Tennessee",101,71,0,12,0,12,54,56,0,12,0,12,0,12,47,50
1400000US47037012600,47037012600,"Census Tract 126, Davidson County, Tennessee",102,68,13,20,35,54,34,40,0,12,9,14,0,12,11,17
1400000US47037012701,47037012701,"Census Tract 127.01, Davidson County, Tennessee",224,128,101,92,0,12,0,12,33,54,0,12,0,12,90,86
1400000US47037012702,47037012702,"Census Tract 127.02, Davidson County, Tennessee",171,103,42,56,0,12,37,54,0,12,0,12,0,12,92,80
1400000US47037012801,47037012801,"Census Tract 128.01, Davidson County, Tennessee",304,82,0,17,0,17,54,63,22,36,11,18,0,17,217,87
1400000US47037012802,47037012802,"Census Tract 128.02, Davidson County, Tennessee",197,96,20,32,18,29,90,63,0,12,0,12,0,12,69,67
1400000US47037013000,47037013000,"Census Tract 130, Davidson County, Tennessee",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US47037013100,47037013100,"Census Tract 131, Davidson County, Tennessee",140,69,58,64,0,12,53,47,0,12,7,11,0,12,22,28
1400000US47037013201,47037013201,"Census Tract 132.01, Davidson County, Tennessee",65,59,35,57,0,12,0,12,0,12,0,12,0,12,30,31
1400000US47037013202,47037013202,"Census Tract 132.02, Davidson County, Tennessee",115,108,44,69,0,12,0,12,0,12,10,16,0,12,61,82
1400000US47037013300,47037013300,"Census Tract 133, Davidson County, Tennessee",230,102,118,68,0,12,28,42,0,12,0,12,0,12,84,70
1400000US47037013400,47037013400,"Census Tract 134, Davidson County, Tennessee",285,149,105,89,0,12,0,12,0,12,73,74,0,12,107,97
1400000US47037013500,47037013500,"Census Tract 135, Davidson County, Tennessee",169,78,66,55,0,12,31,28,0,12,7,11,0,12,65,50
1400000US47037013601,47037013601,"Census Tract 136.01, Davidson County, Tennessee",217,98,108,66,0,12,19,31,18,28,0,12,0,12,72,64
1400000US47037013602,47037013602,"Census Tract 136.02, Davidson County, Tennessee",41,47,17,27,0,12,0,12,0,12,0,12,0,12,24,38
1400000US47037013700,47037013700,"Census Tract 137, Davidson County, Tennessee",344,185,72,81,40,62,23,38,0,17,0,17,0,17,209,134
1400000US47037013800,47037013800,"Census Tract 138, Davidson County, Tennessee",113,77,19,28,0,12,0,12,16,23,0,12,0,12,78,68
1400000US47037013900,47037013900,"Census Tract 139, Davidson County, Tennessee",144,56,53,45,11,18,19,32,0,12,0,12,0,12,61,43
